,Offset,age,Medu,Fedu,freetime,goout,Dalc,Walc,health,absences,Mjob_0,Mjob_1,Mjob_2,Mjob_3,Mjob_4,Fjob_0,Fjob_1,Fjob_2,Fjob_3,Fjob_4,reason_0,reason_1,reason_2,reason_3,G1,G2,G3
0,1,1.0309000226943976,1.30920583242787,1.5395279876548638,-0.17151424526772402,0.6932502514632959,-0.543136405254532,-0.9969257236476314,-0.3707562300992627,0.07337676810107183,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,11,11
1,1,0.20997472854879742,-1.3350096818221955,-1.1879160450694493,-0.17151424526772402,-0.15725903624876267,-0.543136405254532,-0.9969257236476314,-0.3707562300992627,-0.35758723640205586,1,0,0,0,0,0,0,1,0,0,1,0,0,0,9,11,11
2,1,-1.431875859742403,-1.3350096818221955,-1.1879160450694493,-0.17151424526772402,-1.0077683239608213,0.538138217476116,0.560245863951196,-0.3707562300992627,0.5043407726041995,1,0,0,0,0,0,0,1,0,0,0,0,1,0,12,13,12
3,1,-1.431875859742403,1.30920583242787,-0.2787680341613449,-1.1229052297015105,-1.0077683239608213,-0.543136405254532,-0.9969257236476314,1.0121218925123545,-0.7885512409051836,0,1,0,0,0,0,0,0,1,0,0,1,0,0,14,14,14
4,1,-0.6109505655968028,0.4278006610111815,0.6303799767467595,-0.17151424526772402,-1.0077683239608213,-0.543136405254532,-0.21833992984821768,1.0121218925123545,-0.7885512409051836,0,0,1,0,0,0,0,1,0,0,0,1,0,0,11,13,13
5,1,-0.6109505655968028,1.30920583242787,0.6303799767467595,0.7798767391660624,-1.0077683239608213,-0.543136405254532,-0.21833992984821768,1.0121218925123545,0.5043407726041995,0,0,0,1,0,0,0,1,0,0,0,0,0,1,12,12,13
6,1,-0.6109505655968028,-0.453604510405507,-0.2787680341613449,0.7798767391660624,0.6932502514632959,-0.543136405254532,-0.9969257236476314,-0.3707562300992627,-0.7885512409051836,0,0,1,0,0,0,0,1,0,0,0,1,0,0,13,12,13
7,1,0.20997472854879742,1.30920583242787,1.5395279876548638,-2.074296214135297,0.6932502514632959,-0.543136405254532,-0.9969257236476314,-1.75363435271088,-0.35758723640205586,0,0,1,0,0,0,0,0,0,1,0,1,0,0,10,13,13
8,1,-1.431875859742403,0.4278006610111815,-0.2787680341613449,-1.1229052297015105,-1.0077683239608213,-0.543136405254532,-0.9969257236476314,-1.75363435271088,-0.7885512409051836,0,0,0,1,0,0,0,1,0,0,0,1,0,0,15,16,17
9,1,-1.431875859742403,0.4278006610111815,1.5395279876548638,1.7312677235998488,-1.8582776116728796,-0.543136405254532,-0.9969257236476314,1.0121218925123545,-0.7885512409051836,0,0,1,0,0,0,0,1,0,0,0,1,0,0,12,12,13
10,1,-1.431875859742403,1.30920583242787,1.5395279876548638,-0.17151424526772402,-0.15725903624876267,-0.543136405254532,-0.21833992984821768,-1.0621952914050714,-0.35758723640205586,0,0,0,0,1,0,1,0,0,0,0,0,0,1,14,14,14
11,1,-1.431875859742403,-0.453604510405507,-1.1879160450694493,-1.1229052297015105,-1.0077683239608213,-0.543136405254532,-0.9969257236476314,0.32068283120654595,-0.7885512409051836,0,0,0,1,0,0,0,1,0,0,0,0,0,1,10,12,13
12,1,-1.431875859742403,1.30920583242787,1.5395279876548638,-0.17151424526772402,-0.15725903624876267,-0.543136405254532,0.560245863951196,1.0121218925123545,-0.7885512409051836,0,1,0,0,0,0,0,0,1,0,1,0,0,0,12,13,12
13,1,-1.431875859742403,1.30920583242787,0.6303799767467595,0.7798767391660624,-0.15725903624876267,-0.543136405254532,-0.21833992984821768,-0.3707562300992627,-0.7885512409051836,0,0,0,0,1,0,0,1,0,0,1,0,0,0,12,12,13
14,1,-1.431875859742403,-0.453604510405507,-0.2787680341613449,1.7312677235998488,-1.0077683239608213,-0.543136405254532,-0.9969257236476314,-0.3707562300992627,-0.7885512409051836,0,0,1,0,0,0,0,1,0,0,0,1,0,0,14,14,15
15,1,-0.6109505655968028,1.30920583242787,1.5395279876548638,0.7798767391660624,0.6932502514632959,-0.543136405254532,-0.21833992984821768,-1.0621952914050714,0.5043407726041995,0,1,0,0,0,0,0,1,0,0,0,1,0,0,17,17,17
16,1,-0.6109505655968028,1.30920583242787,1.5395279876548638,-1.1229052297015105,-0.15725903624876267,-0.543136405254532,-0.21833992984821768,-1.0621952914050714,1.366268781610455,0,0,0,1,0,0,0,0,1,0,0,0,0,1,13,13,14
17,1,-0.6109505655968028,0.4278006610111815,0.6303799767467595,-0.17151424526772402,-1.0077683239608213,-0.543136405254532,-0.9969257236476314,0.32068283120654595,-0.35758723640205586,0,0,1,0,0,0,0,1,0,0,0,0,0,1,13,14,14
